id,very_positive,positive,neutral,negative,very_negative,score
adVyMxB,4.2174,25.1304,44.7391,21.8261,3.9565,13.855072463768115
aWxBN3A,5.7619,19.0476,52.7619,19.0,3.3333,13.7
aeDKzWW,5.3261,21.4565,41.0217,27.2391,4.9348,34.395604395604394
aqn4w8Z,2.6364,14.8182,56.7273,21.0,4.6364,36.96551724137932
aeDKWnp,3.0526,17.7632,43.8947,29.4474,5.9474,39.0
aLw66qW,3.3,20.2,49.2667,23.5333,3.4667,22.54166666666667
aoPmw1x,4.1875,19.5625,51.8125,20.5,4.0,26.516129032258068
aNgm8jA,0.8571,4.2857,52.4286,35.7143,6.4286,4.730769230769232
a9njN80,4.25,20.125,39.75,30.0,5.75,11.4
aXgZzXD,3.6667,21.4444,46.2593,23.7037,4.7407,9.15625
a6KreVm,5.8571,22.4762,45.619,22.5714,3.2857,8.342105263157897
aD4RN87,2.0,16.0,66.0,15.0,2.0,4.916666666666667
aqn4MwM,4.7857,26.1429,48.0,18.0,3.3571,15.447368421052632
aGdKr0z,3.6667,17.1111,52.6667,20.5556,5.6667,14.471698113207545
a2WEg5O,1.8889,13.6667,47.0,32.2222,4.7778,17.982456140350877
aK74pVg,2.25,13.75,48.5,31.0,4.5833,17.0
a9nj46o,2.2778,9.4444,47.9444,31.5,8.8889,5.617647058823528
aLw631P,2.4,11.3,49.7,31.5,4.7,12.125
azm7yeN,5.7647,19.7647,44.7059,24.1765,5.5294,12.71875
aeDKERb,2.5484,11.0323,38.4839,41.0645,6.871,4.7407407407407405
a6KrB0L,3.0909,16.3409,47.4545,27.75,5.3182,27.319444444444446
adVyWRQ,8.0,19.7692,48.9231,20.4615,2.8462,20.4
an4e0q5,4.2093,22.2093,40.4419,28.2326,4.9302,11.444444444444445
avz2VYM,12.375,18.0625,31.75,31.75,5.8125,13.6875
an4ewxB,2.0667,13.5333,47.4667,32.5333,4.5333,18.58823529411765
a5Wp9xy,3.0435,15.087,48.087,28.6087,5.3043,22.642857142857146
aP764ow,4.3208,17.9811,42.3019,28.3019,7.1132,64.58407079646018
a5Wp38O,2.1667,13.1667,67.3333,14.8333,2.3333,46.27777777777778
a3wve9N,4.1429,19.7857,52.4286,19.4286,4.2857,21.0
aqn4DBL,4.3966,18.9828,48.2414,23.8793,4.431,15.294117647058822
aBm9b72,2.9412,19.9412,47.8235,25.6471,3.8824,6.779661016949151
a1WpgKG,3.7273,18.6818,45.4545,26.8182,5.3182,8.159090909090908
aD4R2Vx,4.5714,14.6786,49.1071,26.4643,5.1071,50.033898305084755
aYyj5WV,2.1429,18.1429,61.1429,16.7143,1.8571,9.333333333333334
adVywzB,1.6667,13.3333,45.0,36.0,3.6667,9.25
aD4Rq1B,3.6923,16.5,42.5,29.8462,7.4615,3.4065934065934065
a3wvn01,1.625,14.5,59.625,21.375,2.625,13.5
a0Nvgyv,4.8261,20.9565,42.1739,27.8261,4.2609,24.538461538461537
a2WE9oY,3.9796,21.6939,46.898,23.1837,4.0816,4.650862068965517
a2WEVYe,7.4,25.5,34.8,27.0,5.2,13.838235294117649
a5WpgLL,4.0,24.1111,38.8333,27.3889,5.8333,35.266666666666666
amvqOLy,1.9,19.25,50.45,24.05,4.15,12.0
arV1rgB,3.3247,17.1558,47.8442,26.8701,4.7662,9.195530726256985
aO7oNBN,2.1667,13.1667,40.4167,35.5417,8.875,11.682926829268293
aeDKBKO,21.0,36.0,24.5,15.5,3.0,11.166666666666664
a2WEjB9,3.5536,16.5119,47.1905,26.994,5.6786,34.28061224489796
aBm9MnP,5.8182,19.4545,56.7273,16.0909,1.9091,4.729729729729731
aZyqKR0,2.7778,25.2222,45.4444,19.8889,6.6667,6.363636363636362
a2WEGXD,6.5,23.5,32.5,30.5,6.5,13.166666666666664
a7Wvg52,2.3571,20.2143,39.9286,30.0714,7.4286,34.111111111111114
aP76zNR,2.0,9.5,31.0,47.0,10.5,28.6
aeDKqrB,2.027,12.7568,44.6757,33.7027,6.8378,20.0
a8GdOZY,2.2941,14.1176,44.7059,33.5882,5.1765,15.633333333333333
a43pyWw,3.1333,14.1333,53.8667,24.3111,4.5333,7.1818181818181825
azm7w5x,2.4444,9.6667,29.5556,47.5556,10.6111,8.461538461538463
aLw6NOM,4.5833,23.75,34.4167,30.6667,6.6667,25.15151515151515
aZyqKPW,2.8421,15.7895,49.7895,27.4211,4.3158,6.340425531914892
a3wvr9m,2.7857,17.8571,56.9286,19.3571,3.2143,22.6
aAeB7jE,3.625,21.625,44.4375,25.5,5.125,8.703703703703704
aoPmoLe,1.5,18.5,63.5,15.0,1.5,7.428571428571429
aMxeqD1,4.2553,22.4681,43.5745,25.2766,4.4681,10.125
aVwj8RO,3.5,21.0,31.25,26.25,17.75,5.5
a0NvGzv,7.5714,24.1429,28.8571,32.1429,7.0,22.615384615384613
aeDKw4O,3.1667,23.3333,39.0,30.0,4.5833,12.0
abG3mpp,2.5333,15.2667,48.8,29.0,4.4667,11.722222222222221
an4ewKV,2.5556,11.5556,41.7778,33.5556,10.5556,30.461538461538463
amvqKz9,3.9167,19.7083,41.9583,27.5417,6.8333,23.470238095238088
aeDKBNq,6.3,22.2,48.6,19.3,3.6,7.783333333333332
azm7vEN,3.3846,21.9231,43.3846,27.9231,3.3077,6.425
aBm954P,3.4286,25.4286,43.6667,23.2381,4.2857,26.03030303030303
amvqQ5y,3.2632,21.1579,44.2632,27.3158,3.8947,19.96153846153846
aR767NM,4.2133,19.6133,45.3733,26.4,4.3733,9.46186440677966
adVywgZ,4.0,12.125,28.75,46.0,9.0,9.3125
aYyjZLm,2.1351,14.8649,46.0541,31.7027,5.3243,21.536231884057976
aLw6OD5,5.1154,26.8077,33.9231,27.4231,6.7692,10.333333333333334
a8GdNm6,4.65,22.85,43.7,24.25,4.55,12.641509433962266
a9njNML,2.2,19.2,58.8,18.2,2.0,16.4
aBm9bE1,3.2353,12.4706,38.4706,36.5882,9.2941,17.19047619047619
aO7oZqv,4.3704,20.6667,40.3333,29.2593,5.2963,16.953488372093023
aqn4BpL,2.4444,19.3333,51.4444,23.0,3.8889,5.0769230769230775
aXgZdwD,5.087,21.5652,43.6522,20.4348,9.0435,12.193548387096774
a7WvA9q,1.9565,9.087,36.7826,42.3913,9.7391,7.245901639344263
