id,very_negative,negative,neutral,positive,very_positive
aMxeo6V,5.5714,35.4286,35.7143,19.1429,4.1429
aYyjXPx,2.5000,13.0000,64.2500,19.0000,1.5000
aj9QEO0,4.0142,24.2624,45.8156,21.3617,4.4539
ax9ELA1,4.5000,27.0000,17.5000,43.0000,7.5000
ayeEbAY,4.5000,32.0000,41.5000,19.0000,3.5000
aXgZdzv,6.1429,32.4286,47.7143,11.8571,1.8571
a5Wp0Qg,1.5000,12.5000,63.0000,21.0000,2.0000
an4ePwB,6.5000,26.5000,29.0000,28.5000,9.5000
aYyj3Bv,2.2500,18.7500,50.2500,27.0000,2.0000
aK74QXb,4.5000,25.1154,43.7692,22.1538,4.5000
aAeB8Lp,2.5556,15.8333,59.8889,18.7778,2.9444
a2WE3Ae,6.0000,37.0000,41.0000,13.0000,3.0000
aAeB8N9,3.0000,24.5000,56.0625,14.3750,1.8125
a43pXBQ,2.7500,27.2500,58.6250,9.8750,1.5000
a1WpynG,6.1429,31.8571,31.7143,25.0000,5.7143
aO7oM4y,2.0000,10.0000,33.0000,48.0000,8.0000
azm7Wyx,5.5000,33.7500,45.7500,12.7500,2.2500
aqn4BdL,3.5000,19.0000,47.8333,24.6667,4.8333
aoPmvon,10.2857,39.1429,23.8571,23.5714,3.4286
aZyq6Xz,7.8750,35.0000,39.8750,14.7500,2.8750
aZyqnpQ,5.5111,29.8889,44.7556,15.9333,3.8667
a9njxw6,7.3636,33.2727,40.3636,16.3636,2.8182
a7WvYVL,2.5000,17.0000,67.0000,12.5000,1.5000
aBm9Az1,5.3636,34.8182,38.4545,18.2727,2.8182
aj9QzVR,4.3333,13.3333,23.0000,49.3333,10.3333
arV1zE6,7.1667,27.8333,41.3333,18.3333,4.6667
aR76bdQ,1.5000,9.5000,55.5000,31.0000,2.5000
aMxeo0V,3.0000,23.2500,54.0000,17.5000,2.2500
aeDKnDq,9.0000,31.4000,36.8000,19.8000,2.6000
adVyGw9,5.2353,30.6471,40.7059,20.0588,3.1765
aD4RK5d,5.5000,24.1667,50.7500,16.3333,3.1667
a9njxNo,2.0000,13.0000,50.0000,30.6667,4.0000
azm7Wyj,13.6667,47.2500,31.5833,6.0833,1.5000
avz2wYE,17.5000,29.0000,30.0000,20.5000,2.5000
a1Wpy8G,5.6667,19.5000,39.5000,30.6667,4.3333
aqn4POQ,9.3333,20.0000,26.3333,38.6667,6.0000
aD4RK9d,5.0000,34.0000,38.5000,20.0000,3.0000
aBm9BO1,4.0000,28.0000,57.5000,9.0000,1.5000
aqn4PwM,5.4286,45.0000,40.5714,7.5714,1.7143
aAeB8Ap,3.8000,24.0000,63.0000,7.8000,1.0000
aLw6Z4P,1.0000,11.0000,80.0000,7.0000,1.0000
aD4RKvO,7.4706,36.9118,41.7941,11.5000,2.3235
aGdKmvK,12.0000,34.6667,44.0000,8.3333,1.3333
awBNDDy,5.6000,36.2000,34.0000,20.4000,3.8000
aD4RKP9,3.6429,23.5714,57.1429,13.0714,2.2857
aLw6Z76,9.7273,48.0000,32.7273,8.0909,1.7273
a8GdRO1,5.0000,29.6667,41.6667,20.0000,4.0000
aVwjp6w,14.8750,30.7500,39.5000,12.5000,2.5000
ax9ELr2,7.7143,27.8571,18.8571,34.4286,11.1429
a3wv6Wr,5.7895,31.4211,40.3684,19.1579,3.3158
a5WpOEy,2.0000,8.0000,46.0000,37.0000,8.0000
