id,average_sentiment
aAeBqDg,9.0909
aZyqX4W,0.0000
amvqnyv,-9.0909
aQd6BOr,-10.8696
a7Wv6Ez,-20.4082
arV1L55,-18.1818
aP760NK,-13.3333
aD4RNyO,-8.0000
a0Nv3ed,0.0000
a8Gd9ee,-15.0000
azm7yop,-8.3333
aEPdjpO,-20.0000
aXgZKp6,-7.6923
aD4RMPK,-6.7797
aXgZGvd,-7.6923
aO7oA0v,-2.9412
azm7yRb,-4.1667
a2WEpEE,0.0000
an4ew1L,-22.2222
a1Wp67w,0.0000
ax9Em8n,-2.4194
aP760Rg,0.0000
arV1rG7,-1.5625
aGdKQL6,-13.7500
aD4R0YO,-8.0000
azm7o8m,4.7619
abG38v9,-23.2143
agArdeK,-33.3333
amvqn9X,-15.6250
ax9En4p,-16.6667
aoPm7Kw,-5.5556
adVyzPB,-19.4444
aoPm8X3,-5.4348
aAeBNGo,-3.8462
aR76yG7,-20.5882
amvqOEo,-25.0000
aoPm7W0,-11.6667
avz2mxO,0.0000
aWxBP66,-18.1818
abG3omL,-30.5556
aD4RNPx,2.0833
aqn4V7L,-22.9167
adVyd2B,10.5263
a3wvp2Q,1.3514
aYyjBB7,-12.5000
aoPmwm3,-3.5714
aVwj6O2,-12.5000
aEPdyYO,-20.8333
aAeB969,-14.2857
a43py9v,-12.9630
a8GdN06,-3.5714
aYyjm6w,0.0000
aR76dLQ,0.0000
aEPdQ1M,-14.2857
aGdKrE0,-10.0000
aEPdQje,-12.5000
aO7oGZ2,-3.0000
aMxey3X,-33.3333
azm73xZ,-14.2857
aGdKqK6,-3.1250
azm7vmb,5.0000
ax9EnYn,10.0000
abG3KjL,-22.2222
aZyqV4W,0.0000
avz2Vz5,3.5714
aZyqK7n,-4.3478
avz2Xzq,-3.3333
aGdKNpG,-20.0000
avz24Vn,-4.6875
aAeB7GE,-25.0000
aQd6b52,-10.0000
avz2q7O,-8.8235
aMxeWrV,-7.9545
aLw61Xz,-13.2075
aR76p0y,11.5385
aNgmbvb,-9.2105
an4eovq,-17.2414
ao5BrKX,-7.7922
avz2jEO,-38.8889
avz2XDX,-12.5000
ax9EAvn,-30.0000
aBm95xO,0.0000
a3wvO0N,-2.5000
aLw6bev,-9.0909
aBm9jeO,-3.5714
aqn4OPP,0.0000
aoPmexn,-1.5152
a8Gd9yZ,-9.2593
aZyqrzp,-15.5172
abG3d0L,-7.1429
a3wvO43,-11.5385
arV1Oq7,-7.8125
a9njVNW,-5.0000
aqn4wyM,6.2500
aWxByb4,-12.5000
a1WpmvY,-4.0000
an4eW10,0.0000
aO7oOov,6.0000
aGdK7Z0,1.5152
a0NvzjO,0.0000
ayeEzPY,-16.0000
aoPmqen,-17.8571
abG3Lrv,0.0000
a1WpB0D,-25.0000
a8Gdn7Q,-14.2857
aZyq2WW,-8.0000
aBm9bMP,-13.6364
amvqbKj,-16.6667
aQd6bp7,-5.8824
amvqQov,-15.3846
aBm9X8N,-21.1538
a0NvgDX,0.0000
abG38Rr,-8.8235
a6KreON,-10.4167
abG3oev,-5.1282
aGdKz75,-9.2593
aVwj4y8,-10.0000
azm7ynN,-25.0000
a8GdgKZ,-16.6667
aqn4A1P,25.0000
a7WvnX2,5.0000
amvqdVj,-20.0000
a43pxX1,-10.6061
aj9QdR8,-25.0000
aD4RNDK,-5.7143
aeDKBP5,-11.2903
a6Krzpq,-7.1429
amvqbx4,-12.9032
azm7Qrq,-14.2857
a0NvqNX,-9.3750
aqn4pvj,0.0000
ayeE1Mp,-14.8649
a3wvOpe,-6.2500
aZyqYVn,-36.3636
a8GdQrY,-15.0000
aEPdEWM,0.0000
aEPdjoM,-23.3333
ax9EWqK,-9.1667
aZyqbbX,-6.5217
aMxeDb6,-27.7778
aK74MX6,-10.0000
a2WENKw,-14.5455
aGdKQO5,10.0000
aj9Qjvg,11.5385
aK745Z3,0.0000
a7WvxE2,-25.0000
apGKMj8,0.0000
a8GdnrQ,-12.5000
a43p0Bw,0.0000
adVybz2,0.0000
ax9Er8D,-20.0000
aVwj14K,0.0000
an4e94b,-8.1633
a8GdgQ6,-23.3333
aBm9LND,-5.1282
a9njGe0,11.1111
ayeEEz8,-12.9630
awBNpDQ,-17.3077
apGK8bM,-4.5455
aqn4Bn7,-12.5000
avz2B0q,-15.6250
ayeEvPy,0.0000
a3wvzOQ,-8.3333
a7WvADm,4.1667
aBm9LBP,-10.9091
a1WpBq2,0.0000
aoPm7xn,-8.3333
aP76VRB,-10.0000
adVyA8Q,-16.6667
aGdK5V7,-6.2500
aNgmbXA,-7.8947
aVwj8YP,-16.6667
aeDKyQb,-16.6667
a8GdeLZ,-10.0000
aoPm6ng,-16.6667
a9nje6L,-9.0909
arV1ddB,-3.3333
amvqbZ2,-1.7241
a6KrpwL,5.8824
a8GdzmO,-18.1818
agArew1,-10.9375
aXgZO2v,-5.0000
a43p00Z,-9.4595
arV1Lx7,-16.6667
aP76zwg,-28.5714
aR764LG,7.5000
aAeB5Eo,12.5000
aD4RrAG,-17.8571
avz2D8Z,-13.1579
aLw6EEv,-6.2500
aNgmX53,5.5556
a8GdNGV,7.1429
aeDKwj5,0.0000
arV15ny,-9.0909
aeDKy6p,-9.5238
awBNDMQ,6.2500
a0NvgVL,0.0000
aVwj68v,3.3333
a8GdQ6V,-4.5455
aD4RLww,16.6667
aNgmZ0v,-12.1951
aGdKrn6,-4.5455
arV1rKp,-21.4286
a43p0X6,-20.0000
aK74nvW,-37.5000
a8GdgBe,12.5000
amvqQbd,2.9412
azm7QdZ,-16.6667
aBm9bAQ,0.0000
an4eomb,-2.8571
adVyzA2,18.7500
apGKj99,-16.6667
aoPm730,-7.1429
ayeEKgp,-7.5758
aeDKqRq,-3.3333
aMxeLXR,-14.7059
amvqOOV,-11.5385
a3wv2wQ,0.0000
aP76YVn,-4.0541
a7WvPZw,-18.0000
aD4RvB9,0.0000
a9njN0W,-4.5455
a0NvyvX,-4.1667
a8GdgrO,0.0000
ayeEjEM,-12.5000
aMxeMeG,-30.0000
aVwjyj8,0.0000
aNgm3Zw,-20.0000
aXgZ6ZP,0.0000
ax9EqEb,0.0000
aP76bww,-16.6667
a9njjoL,-10.0000
a0Nvy8X,-6.2500
a9njZno,0.0000
a6KrR0R,-5.0000
aqn4o97,-12.5000
a0NvqKd,0.0000
aVwj9Xy,-1.6129
aK74owN,-37.5000
a8GdxWY,0.0000
a8GdxLO,5.0000
abG3nXp,-4.5455
aVwjyOO,-33.3333
aBm9BK1,3.5714
azm7DQm,-9.0909
ax9Eqdb,-14.2857
aWxB3Qq,0.0000
aAeBNmg,-6.2500
ax9EQjW,-4.7619
ayeEjpY,0.0000
awBNPoB,-11.2500
aZyqObW,-25.0000
a7WvRKq,-20.0000
a2WE6Ne,16.6667
aP76b4Q,0.0000
aBm9NKQ,-2.0833
aoPmQ0n,0.0000
a0NvD5L,-7.1429
amvq4L2,0.0000
amvqZ3o,-8.6957
aoPmQZg,0.0000
aeDK80b,-8.3333
avz2mAW,25.0000
aeDK83b,-25.0000
aj9QQ2G,-10.2564
aD4RvOO,-25.0000
agArzNv,0.0000
aYyjngv,-10.0000
a7Wvbrz,-7.8704
aMxeMrW,-50.0000
aO7oLb6,-2.9412
avz2KLE,0.0000
aGdK4xG,-20.0000
a9njg76,-12.5000
aD4Reod,-16.6667
aBm9BYZ,-16.6667
aD4ReoO,-11.5385
aQd6z27,-14.1791
aBm9BYN,-10.0000
apGKjVn,-11.6667
a6Kr3yR,0.0000
abG3n5O,0.0000
aO7oLm6,10.0000
arV17vV,-7.1429
aWxB3Zn,-7.1429
a3wvnRQ,-25.0000
a43py21,-5.0000
amvqRO9,-15.9091
aNgmEKK,25.0000
aqn4oLZ,0.0000
aEPdm7e,-4.0000
a43pmg6,0.0000
aP76bGQ,-10.0000
a6KrYLA,12.5000
a5WpAYL,18.7500
aQd6W8W,0.0000
aj9Qerx,40.0000
amvq402,16.6667
a43pmAd,-20.0000
aK74ZXN,-27.2727
azm7z6z,-12.5000
an4eP1E,-16.6667
a5WpvBV,0.0000
azm736p,7.6923
an4e3OL,-20.0000
agArz3x,-20.0000
aqn4DEv,-4.7619
azm7EdZ,-8.4906
aBm9B1N,-12.5000
aXgZ6wv,0.0000
aVwj9bK,10.7143
aR76qwM,20.0000
a43p8Xw,16.6667
abG3nZX,10.0000
aj9QeD0,-12.5000
a5Wp0pq,0.0000
aBm9MPO,25.0000
aQd6WxW,-16.6667
adVyDXQ,-16.6667
a0NvyPz,25.0000
aQd6DEK,-13.3333
aAeBz10,-28.5714
aVwjLPy,-11.7647
aBm9BwN,-21.1864
a3wvX77,33.3333
agArzqg,-15.0000
aEPdyBO,0.0000
a7WvAEw,8.3333
azm7B6z,-12.0000
a43pOLA,0.0000
aqn4orZ,25.0000
azm7prB,-12.5000
arV17OK,0.0000
ayeEjL8,-17.3913
aP76pGR,0.0000
a1Wp3dD,-35.0000
a43pyb6,0.0000
amvq4YX,0.0000
an4eEeq,-19.5652
aD4RejO,-10.0000
a6KrYMb,-6.2500
aWxBAmZ,-8.3333
aP76bWq,-7.1429
abG3npr,-25.0000
aeDK8bj,-16.6667
a3wvXLm,-50.0000
a2WE6r9,-4.1667
aD4ReWK,-25.0000
avz2wdd,-16.6667
agArzLK,-8.8235
aj9Qy60,-14.4068
aWxB3mx,-25.0000
avz2KOZ,50.0000
aVwjyMy,-2.2727
a6Krebm,-10.8696
a7WvRdz,7.6923
aBm9Mdz,-3.3333
a9njgrj,0.0000
aWxBGE3,-11.1111
aBm9Bxx,-6.2500
an4eZwq,0.0000
aNgmEdw,0.0000
agArzYK,0.0000
aAeBzxd,-10.0000
azm7pVx,0.0000
aEPdmYx,50.0000
agArzGg,0.0000
a7WvRMe,-12.5000
a2WE6ZE,14.2857
an4eP9B,0.0000
amvq4Bv,0.0000
aQd6B3K,-5.0000
awBNWQ8,0.0000
ayeEjXV,-20.0000
a1Wp3K8,-25.0000
ayeEjBV,12.5000
aR76qj2,-12.5000
aVwj172,-16.6667
aeDK8r5,-50.0000
ayeEjxq,-12.5000
aWxB3Y2,-21.0526
adVyD5N,16.6667
aqn4oKY,-14.2857
aP76zBP,-18.7500
aYyjXyw,12.5000
a8GdxyZ,25.0000
an4ePyo,-50.0000
aNgm24v,-14.7059
aAeB9n9,-20.8333
a5Wp0Wo,-5.0000
a0NvyNL,-8.3333
azm7pXq,-10.0000
aR76qXA,-25.0000
arV1DWp,-10.0000
aD4Red7,0.0000
aR76q7A,-8.1081
ayeEjey,-5.0000
aGdK4p7,7.6923
avz2DNd,-20.0000
aK748YZ,-4.5455
a7WvRwm,-10.0000
aO7oAXN,14.2857
aAeBzgE,0.0000
aVwjyYP,-5.0000
aeDKRzp,-25.0000
ayeEr5r,-33.3333
aO7oLQ3,-11.1111
aeDK8GO,-25.0000
aO7oL7y,-10.0000
abG3nG8,-50.0000
aXgZ6Yz,0.0000
aLw6N5z,-14.7059
aWxB3G6,10.0000
aoPmQPA,-25.0000
aVwjywv,0.0000
aK74oEO,-8.3333
aLw671P,-14.2857
aYyjXrV,-3.8462
avz2D6n,-12.5000
a5Wp0XG,-14.2857
aj9Q9A8,-6.5217
azm7pMz,0.0000
abG3nzr,-10.0000
an4ePzL,0.0000
arV1r0V,-12.5000
aVwjyxd,-12.5000
aoPmxjA,-19.6429
apGKZ5W,25.0000
a2WEqnZ,-17.3913
aBm9B0x,0.0000
aLw67nv,0.0000
aBm9Gzx,-9.6154
a9njgyL,-20.0000
a7WvRow,-15.3846
avz2KZO,-33.3333
abG3nAv,-25.0000
aP76b3K,-30.0000
ax9Eq0Y,0.0000
aVwjyvn,-10.0000
aXgZeAz,0.0000
aoPmQye,0.0000
aEPdmMp,0.0000
aAeBzyR,-30.0000
aj9Qe71,-20.0000
aYyjXGm,18.1818
aR76qrB,0.0000
a2WE6Mp,0.0000
aGdK4EX,-6.2500
aoPmQgm,-18.7500
a43pW2v,-26.3158
a43pOnZ,-25.0000
arV17m5,-16.6667
a5Wp01G,0.0000
an4ePQV,-16.6667
aO7oL2R,16.6667
aeDK84p,-27.7778
a8Gdx3p,-33.3333
adVydzM,0.0000
amvq4W9,-31.8182
aVwjygn,0.0000
adVyDP2,-50.0000
aeDK81p,-6.6667
azm7pdm,-10.4167
aqn4o7Y,12.5000
a9njgzL,0.0000
a2WE61D,-8.0645
amvq47X,0.0000
aGdK4yX,-13.3333
aAeBzQR,-20.0000
amvq486,-25.0000
aeDK8Mj,0.0000
ayeEmXX,0.0000
ax9EqWn,12.5000
a3wvXj7,-50.0000
azm7p9q,0.0000
a6KrYXR,-25.0000
aXgZ6M6,-10.0000
aVwjyEM,-16.6667
an4edr0,-18.0556
a9nj4Pj,-8.3333
aGdK4LX,0.0000
aYyjQnO,-10.9756
amvqbyj,0.0000
arV1r15,0.0000
aBm9ByQ,25.0000
a1Wp3m6,0.0000
aD4ReA9,-50.0000
aP76bmP,-2.3810
aQd6WQ7,-25.0000
aXgZ3Nb,-11.1111
a9nj4zo,-12.5000
aNgmEQr,-10.5263
aeDK8OQ,-50.0000
a9njZ3W,16.6667
a9njgv1,-8.3333
aP76b9G,0.0000
a43pONm,-8.3333
aj9QeBQ,0.0000
abG3E3L,-5.5556
amvq46o,-9.3750
aGdK480,0.0000
aVwjKgd,-17.6471
a6KrYEm,50.0000
aVwjyKM,-50.0000
a3wvXy3,-10.0000
a8Gdx03,-12.5000
aVwjyoM,0.0000
a0NvyXB,-14.2857
a43p0QZ,0.0000
aBm9MjN,-16.6667
aNgmELG,-17.8571
aj9QeOG,0.0000
abG3nOE,25.0000
avz2KxX,0.0000
aGdK4Gn,-8.8235
aEPdmDn,-21.4286
aQd6WAK,10.0000
an4ePxn,-14.2857
aO7oLP2,0.0000
adVyDnB,-18.7500
apGKZb5,0.0000
aLw6rMA,0.0000
amvq4xd,-11.7647
aD4ReV9,-9.6774
aAeBGpd,-11.6667
a7Wvn7L,1.4286
aGdK4A6,16.6667
aAeBz29,0.0000
aZyqOjW,-15.0000
aR76q2M,-18.7500
aAeBzPZ,-50.0000
aeDK8mv,16.6667
a1Wpxo8,20.0000
aLw67dz,-16.6667
a9njgmD,-16.6667
aZyqXq3,-17.3077
a8GdxKY,-18.7500
aBm9BGA,-25.0000
a3wvX48,25.0000
aK74oYN,0.0000
aVwjy28,5.5556
a5Wp0NO,-33.3333
adVyD2d,-15.6250
aR76qOG,-12.5000
aAeBzvp,0.0000
a1Wp32w,-7.1429
a7Wv89m,-4.6296
aMxeMbV,-30.0000
aD4ReMw,0.0000
ax9EqRb,0.0000
a3wvXNN,0.0000
amvq4n2,0.0000
amvqwXV,-10.0000
aGdK4bK,-25.0000
aP76bQw,-16.6667
aP76dDV,-17.5000
a43pOwQ,-25.0000
aVwjBLw,-2.2727
a8Gdxz1,-30.0000
azm7pYj,-50.0000
aBm9BoZ,0.0000
adVyDRZ,-10.5263
a0NvyOz,8.3333
aEPdmEN,-4.5455
awBNWeW,0.0000
aD4Reb9,-50.0000
a6KrY2q,0.0000
a0Nvx2L,-21.7391
a8GdVBO,25.0000
aP76bnQ,25.0000
a5WpvDo,-21.8750
aZyq5qn,-14.2857
aVwjydw,-11.1111
aYyjnbm,-3.5714
aYyjXL7,25.0000
aYyjXeN,0.0000
aYyjXdN,-27.7778
aYyj0qN,0.0000
aeDK8dO,-11.1111
aeDK8WO,-10.0000
aeDK8xW,-12.5000
aMxeMqV,0.0000
an4ePvn,0.0000
apGKZPE,-16.6667
a6KrYxA,0.0000
aD4Re8Z,-33.3333
azm7pDx,-16.6667
a9njNpW,8.3333
a3wvX83,7.1429
aBm9BNZ,0.0000
azm7pBx,-20.0000
a8GdxXV,0.0000
apGKZzB,-15.0000
awBNm4W,-10.3448
aD4RdPB,-11.8750
aO7oLAr,0.0000
a5Wp0vV,-16.0000
an4ePV5,-20.0000
apGK7Xb,0.0000
aEPd5Pn,0.0000
aoPmn1e,-7.6087
awBNv2Q,6.2500
an4ePVq,0.0000
aWxB3eZ,16.6667
a7WvRGA,25.0000
aBm9zjA,11.1111
a3wvnA1,12.5000
amvq46d,-50.0000
a2WE62O,50.0000
ayeEjm8,16.6667
avz2KXE,16.6667
aqn4oVZ,10.0000
a43pV9y,14.2857
a2WEmVO,-6.6667
awBNWmr,50.0000
ayeEjvY,8.3333
a5Wpg8y,-14.2857
aD4Rr0G,0.0000
avz2KVZ,12.5000
a1Wp3BD,0.0000
aD4R5NB,-33.3333
amvq4Oy,-7.1429
aAeBzLZ,-16.6667
aWxB3PZ,0.0000
aO7ojKv,-15.3846
an4eP0E,-11.3636
