id,comments count,section,type,person,people,cat,dog,other animal,poster,clothing,car,toy,tree,glasses,building,electronic device,airplane,guitar,pattern,image_text,comments,score,log_score
aO7oLAr,5,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.8235294117647058,0.6007738604289301
aO7oLb6,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9412,3.3666666666666667,1.4739999415389964
aO7oLBD,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,30.166666666666668,3.439349147626532
aO7oLDv,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2.4849066497880004
aO7oLED,7,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0.0,1.2222222222222223,0.7985076962177716
aO7oLg3,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,1.0,0.6931471805599453
aO7oLm6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,17.5,2.917770732084279
aO7oLP2,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9090909090909091,0.6466271649250525
aO7oLpN,31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.214285714285715,3.339828435285863
aO7oLQ3,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,-11.1111,1.6666666666666667,0.9808292530117263
aO7oM0r,102,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35135135135135,3.2715195583536225
aO7oM4y,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,11.0,2.4849066497880004
aO7oM56,29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0.875,0.6286086594223741
aO7oM6E,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,1.0116009116784799
aO7oMbv,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,136,0,1.5,0.9162907318741551
aO7oMdN,28,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-7.1429,36.8,3.632309102625542
aO7oMgE,23,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3333,1.75,1.0116009116784799
aO7oMGv,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,-5.0,2.2941176470588234,1.192138346678933
aO7oMMr,39,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.209302325581396,2.653896843478033
aO7oMN2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,14,2.70805020110221
aO7oMnN,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,9.0,2.302585092994046
aO7oMoR,5,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.8333333333333333,1.041453874828161
aO7oMPR,37,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,1.9047619047619047,1.0663514264498881
aO7oMqM,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-16.6667,1.5,0.9162907318741551
aO7oMRM,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,2.3978952727983707
aO7oMv2,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0.0,7.666666666666667,2.1594842493533726
aO7oMwD,13,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5455,1.1428571428571428,0.7621400520468967
aO7oMXD,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-5.0,4.142857142857143,1.6376087894007967
aO7oMxE,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.0,3.0,1.3862943611198906
aO7omy2,137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,22.404444444444444,3.1529259378518346
aO7oN06,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88,-8.3333,36.84848484848485,3.6335909486590974
aO7on6v,69,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,5.578431372549019,1.8837963236874107
