id,comments count,type,image_pred,sentiment_pred,keywords_pred,score,log_score
a0NvBOZ,0,1,2.2903321072413405,2.017710561387081,2.3416639538891992,1.0,0.6931471805599453
a0NvBqd,2,1,2.300794643496358,1.328735145248758,2.3416639538891992,4.0,1.6094379124341003
a0NvBrz,1,1,2.3202393112208046,1.6329228705115957,2.3513097864529944,1.6666666666666667,0.9808292530117263
a0NvBVn,4,1,2.432049617482068,1.3749248581179956,2.3513097864529944,2.7777777777777777,1.329135947279942
a0NvBwZ,4,1,1.908122947624038,1.493069388786993,2.2985572723008536,1.0,0.6931471805599453
a0NvBxO,0,1,2.462215897675194,2.017710561387081,2.3513097864529944,3.75,1.55814461804655
a0NvBXQ,2,2,2.4868390731303305,2.133269289498388,2.3513097864529944,2.5714285714285716,1.2729656758128876
a0NvD5L,21,1,2.3408259831561082,2.3813393203791136,2.2985572723008536,20.6,3.0726933146901194
a0NvdGL,650,1,2.336425240359297,2.017710561387081,2.3513097864529944,19.66774193548387,3.02857412415983
a0NvDLn,26,1,2.2999313044332492,2.2986817338080723,2.3553442641633326,6.775862068965517,2.051024328956259
a0NvDNO,258,1,2.2964817803095645,2.017710561387081,2.3416639538891992,21.2,3.100092288878234
a0NvDpq,7,1,1.9882495378150566,1.8165310608065146,2.373524384405721,7.608695652173913,2.1527728147653855
a0NvDZB,213,2,2.32751550454824,2.017710561387081,2.2502165887684065,7.954430379746835,2.1921484243043587
a0NveAq,305,2,2.3408259831561082,2.017710561387081,2.3513097864529944,10.62962962962963,2.4535561199039244
a0NvenO,95,1,2.3408259831561082,2.017710561387081,2.3513097864529944,37.15384615384615,3.6416265692633907
a0Nvezz,209,2,2.3408259831561082,2.017710561387081,2.3513097864529944,57.91150442477876,4.076036392888363
a0Nvg8O,8,1,2.4636596368567263,2.1285032019051986,2.3416639538891992,13.904761904761905,2.7016807528167304
a0NvG9X,1,1,2.4010014478460624,1.48545843006792,2.3513097864529944,6.7,2.0412203288596382
a0NvgDX,5,1,2.348186560991972,2.1680924643197903,2.3513097864529944,9.666666666666666,2.367123614131617
a0NvgEO,11,1,1.9484322481230423,2.0854988818188787,2.227593907327755,5.05,1.80005827204275
a0NvGjv,15,1,2.3408259831561082,2.017710561387081,2.3513097864529944,18.041666666666668,2.9466295605462594
a0NvGqn,96,2,2.32936893362563,2.21322645940923,2.3513097864529944,10.62280701754386,2.4529692900258273
a0NvgVL,5,1,1.9759176365768185,2.3859505070740066,2.3513097864529944,9.407407407407407,2.3425178033294167
a0Nvgyv,24,1,2.3408259831561082,2.4010139692285546,2.252450145307956,24.53846153846154,3.240185611454952
a0NvGzv,12,1,2.449264856723017,2.118259179222503,2.3052571827876442,22.615384615384617,3.1618983901256605
a0Nvj2z,44,1,2.4634362902243785,2.017710561387081,2.3513097864529944,49.57142857142857,3.923386764078461
a0NvKbB,43,2,2.3607892446638985,2.017710561387081,2.3513097864529944,31.175,3.4711897534821903
a0NvMxB,230,1,2.2776351004822013,2.017710561387081,2.3513097864529944,38.73015873015873,3.6821105650402415
a0NvN4q,140,2,2.3408259831561082,2.017710561387081,2.3513097864529944,20.502183406113538,3.0681544837501047
a0NvNEB,90,1,2.2999313044332492,1.718836115397004,2.2303407964108164,7.231884057971015,2.108014914123892
a0NvnEn,89,2,2.3408259831561082,2.017710561387081,2.3513097864529944,34.724489795918366,3.5758364422840936
a0NvNnO,94,1,2.380065711835164,2.4772492868625444,2.3513097864529944,16.361842105263158,2.8542748156570474
a0NvNRQ,157,1,2.4404452431422725,2.017710561387081,2.3513097864529944,17.44109589041096,2.9145816464282217
a0NvOLL,238,1,2.464322122446975,2.017710561387081,2.0110916396661187,23.462264150943398,3.1971316914265975
